GEOID,total_claims,total_payout,years_with_claims,Q100yr_best,Q10yr_gev,best_model,n_obs,impervious_pct,median_income,COUNTY_NAME,exposure_idx,hazard_idx,imperv_idx,vuln_idx,risk_index
48153,0.0,0.0,0,12716.568859423873,1424.7500354416316,LP3,30.0,0.6816220508500568,49321,Floyd County,0.0,0.0,1.6,55.5,5.79
48373,80.0,4264316.44,3,132392.61806162223,12672423.830537949,LP3,61.0,1.551832762747979,57315,Polk County,1.0,0.0,3.9,47.8,5.76
48273,25.0,689527.46,3,29891.730025765253,218336.42325657784,LP3,10.0,1.1487103440358195,52487,Kleberg County,0.3,0.0,2.8,52.2,5.76
48407,57.0,3071421.54,5,31482.39427996033,1833224.0613360784,LP3,33.0,1.2796314829247557,54839,San Jacinto County,0.7,0.0,3.2,49.9,5.75
48209,49.0,1775579.75,6,150865.37212797548,1068235.8385700055,LP3,89.0,5.271484195028657,79990,Hays County,0.6,0.0,13.9,34.2,5.75
48275,0.0,0.0,0,18978.876443598303,211371.85092050294,LP3,56.0,0.3770083086738134,48750,Knox County,0.0,0.0,0.8,56.2,5.74
48255,2.0,12110.51,1,68475.56835018119,3885857.629278406,LP3,94.0,2.5899997372209875,57798,Karnes County,0.0,0.0,6.7,47.4,5.74
48063,0.0,0.0,0,24558.249078149714,2591250.0298504625,LP3,17.0,1.714908118441459,53968,Camp County,0.0,0.0,4.4,50.7,5.73
48043,0.0,0.0,0,78524.42334073123,7393785.89176095,LP3,66.0,0.0896694817847938,47747,Brewster County,0.0,0.0,0.0,57.3,5.73
48181,19.0,338517.82,6,23613.794469695582,2884479.2739815363,LP3,36.0,3.8690626200183296,66608,Grayson County,0.2,0.0,10.2,41.1,5.72
48487,0.0,0.0,0,40226.91098542124,464.1787913944397,LP3,55.0,0.8737729445032852,50769,Wilbarger County,0.0,0.0,2.1,53.9,5.71
48507,0.0,0.0,0,,,,,0.4264119402220064,49243,Zavala County,0.0,0.0,0.9,55.6,5.7
48335,0.0,0.0,0,37332.83470752131,1955542.1368465645,LP3,79.0,0.5778034626843938,49869,Mitchell County,0.0,0.0,1.3,54.9,5.68
48107,0.0,0.0,0,,,,,0.5761860140976071,50268,Crosby County,0.0,0.0,1.3,54.5,5.64
