GEOID,n_obs,Q2yr_gev,Q10yr_gev,Q50yr_gev,Q100yr_gev,gev_shape,aic_gev,Q2yr_lp3,Q10yr_lp3,Q50yr_lp3,Q100yr_lp3,aic_lp3,Q100yr_best,best_model
48071,19,206.0680296114081,221.95217614900537,369.715831367595,633.8709801824186,-1.3692959814687753,517.4266176534622,1373.857986666416,236661.50827810576,49395078.82794639,504689698.7753355,,504689698.7753355,LP3
48073,85,479.0452400542525,5315264.53857334,316025498913.19617,32965168843834.77,-6.656135124837094,2023.26576962065,6975.634967653486,19835.160032133936,32675.450677466164,38137.94304883652,232.40280086461036,38137.94304883652,LP3
48075,56,48.16626874379438,5544770.698946945,219108827314.72983,19229679963583.844,-6.4087280555241986,1383.6031949635542,12337.59365901679,49918.63344692431,79990.55199845234,89729.2909647611,200.00897568451705,89729.2909647611,LP3
48077,68,208.2292529365446,3045368.535665846,135185494565.15926,12462592877596.56,-6.479190091031095,1537.0510647573697,3704.255440362074,11051.412741937096,19907.45715418435,24208.539541312704,185.8896225634101,24208.539541312704,LP3
48081,87,31.23574190905421,2141611.2598323,39539167729.19318,2515493421091.227,-5.947965658609089,2022.123916274037,5862.869557660646,20035.18314562404,29031.962636145145,31542.936710857302,289.4172400676112,31542.936710857302,LP3
48083,78,39.891766139717774,876374.8566117625,8485930787.267231,410969305559.3128,-5.557218858638079,1706.7178639814174,2667.5815005647487,21740.410475653145,68111.41736688161,99785.27105251906,313.20469699923626,99785.27105251906,LP3
48085,71,569.6276447224417,2748840.6270532357,122921982030.40675,11367942187857.494,-6.483721285615488,1642.9168322859073,5436.799451306391,19281.526610268214,38227.75177727606,48017.37640555215,214.38940841943665,48017.37640555215,LP3
48087,67,100.34876291098976,2961477.1965616755,129637469565.66362,11880567781328.908,-6.470709164166385,1572.494578771845,5331.8193624104415,37196.56181218197,110465.8772078901,159901.9058044029,257.51816683965365,159901.9058044029,LP3
48089,94,258.87091345751355,11337953.916144138,1320470153160.3508,183017621619355.47,-7.063190979415987,2548.9699495147433,30514.788598419826,99058.66631867086,153841.7479598902,172710.75460708034,294.355856290265,172710.75460708034,LP3
48091,108,121.2972935453175,4712554.02108172,289074131518.5319,30553525625211.777,-6.674995203030916,2746.8893164467295,13046.177482079696,62155.069808207096,129494.23132485567,162183.42416709894,381.73167992569705,162183.42416709894,LP3
48093,79,65.32064971553528,1024174.0989423884,20620437866.88398,1360862176172.203,-6.0004692094346606,1840.229133572168,5101.599679464317,18146.09096574213,31288.108681824702,36627.455631987556,253.373019772452,36627.455631987556,LP3
48095,96,191.15982614569563,2065570.2272333044,69538057579.45633,5703334170441.566,-6.311752113772579,2321.9923031075696,7266.495045506722,42925.91319249571,114565.36994043968,159524.83232776253,350.6055318899518,159524.83232776253,LP3
48097,47,733.5532281047804,4366710.802900214,181366843178.43536,16257074166826.764,-6.438976854291358,1098.7977456276435,6479.206335625243,20918.620345180487,41010.09880317288,51708.027070729215,133.6606204871672,51708.027070729215,LP3
48099,70,173.78423019471674,3809196.489358631,199398890234.678,19709061339391.695,-6.5789987852268474,1775.835257064789,13231.37083346273,47249.413886531605,84387.37023916369,100462.58283749972,222.63992164175016,100462.58283749972,LP3
48101,46,6456.513274276835,14602.239029808654,22971.60745147492,26901.096600851677,-0.0899209257631885,913.9802694189584,6146.644027612496,15455.595838859175,22520.452794595152,25019.819287138467,122.1915135351332,25019.819287138467,LP3
48105,19,34.46444878475856,2328822.649079197,85496934538.84436,7273636344491.016,-6.3641705052809385,363.5210486540904,1132.8308669686046,5964.018181848423,11861.312355958426,14401.127913730345,76.19186432060175,14401.127913730345,LP3
48109,21,71.16918165994653,9357811.612788863,306635781285.8713,24862959680910.87,-6.295341183571633,244.92416799251757,64.037498150449,403.8033738582563,1092.3432377386507,1521.6111076140294,83.38351301896218,1521.6111076140294,LP3
48113,115,1260.924819723553,14336933.651407778,1873333059170.8977,272592688138172.8,-7.132890406205389,3068.4512026403822,23503.94396684301,64083.242494762824,105415.94413583347,123430.54981001886,299.1951750627854,123430.54981001886,LP3
48117,39,20.0146512290693,261813.7171449289,1064704976.0914778,35731676311.59522,-5.031920169624515,747.947006648274,1027.3548421994424,5972.124143135769,9805.58669461138,10890.857912952968,162.17655515065354,10890.857912952968,LP3
48119,72,501.4832656265056,4427198.341874506,230200073392.41544,22689746323657.02,-6.574978651795476,1756.6110159653826,9399.50474710252,24955.313529745217,37989.46744776485,42907.11479543759,193.6102248713564,42907.11479543759,LP3
48121,88,915.4405310543476,3310562.894866125,156159032026.07565,14771815895499.104,-6.516087835847104,2169.919826777461,9542.509633299647,29069.069032515195,56130.7007323907,70641.46829146078,233.19092446161983,70641.46829146078,LP3
48123,82,59.4025915584724,8960393.723646995,466075594815.6072,45943656758103.31,-6.575127096265819,2107.485366167165,15392.80167010391,83305.92561514376,190637.8249579576,247365.6271979859,301.34238852937153,247365.6271979859,LP3
48127,71,29.47001649483402,1592700.2342110889,25519187661.393925,1529116145641.8186,-5.862149215682219,1608.4363414129405,4827.25212348756,17282.325699594636,24481.0899423503,26305.405428528804,245.4454352396818,26305.405428528804,LP3
48129,30,19.835270212664653,66193.19835463882,107834454.10441168,2458324469.659629,-4.47807331529169,508.7759605979701,286.9469395421677,5277.881093072726,34739.370808259075,69187.80142783017,137.49796888971886,69187.80142783017,LP3
48137,12,267.4670792835454,1972.690982641429,10633.043766217444,21593.539022734967,-1.012601960732043,185.988865062936,269.4572602669019,2151.8570494427204,9468.62736650094,16676.420822593383,48.59101381415798,16676.420822593383,LP3
48139,82,61.58445223181566,3729560.366859985,110492022052.10304,8585313764570.452,-6.23431554244128,2174.5489223217533,23698.166877251,72862.09436129121,109831.1296994609,122122.307067766,250.8394397953685,122122.307067766,LP3
48141,95,36.20480788193467,1267982.1575105458,17208299626.773056,961233252183.2952,-5.761621886048355,2146.558669041058,3857.798361884737,11250.14829052842,17213.940651152774,19345.082379010106,275.88323256801266,19345.082379010106,LP3
